taxon	metabolite	spearman_rho	p_value	n_samples	adjusted_correlation_fdr	abs_adjusted_rho	adjusted_direction	covariates_used	taxon_label	metabolite_label
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI7970	-0.4975895501994161	6.653710066712383e-8	105	2.594946926017829e-4	0.4975895501994161	negative	sex_model;antibiotic_model	Ruminococcus	C8p QI7970
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI4874	0.47512116751307903	3.034814871118849e-7	105	4.4867397293908007e-4	0.47512116751307903	positive	sex_model;antibiotic_model	Coprobacillus	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI10300	-0.4670433340244661	5.102720224282723e-7	105	4.4867397293908007e-4	0.4670433340244661	negative	sex_model;antibiotic_model	Ruminococcus	C8p QI10300
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI25565	0.46598680967702394	5.456222234263369e-7	105	4.4867397293908007e-4	0.46598680967702394	positive	sex_model;antibiotic_model	Anaerotruncus	HILn QI25565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3032	0.4651509968215628	5.752230422295898e-7	105	4.4867397293908007e-4	0.4651509968215628	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI3032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	C18n_QI4874	0.4567503824461307	9.707262991126457e-7	105	6.309720944232197e-4	0.4567503824461307	positive	sex_model;antibiotic_model	Clostridium	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI9275	-0.45010730191690407	1.454023778185204e-6	105	7.860779817037604e-4	0.45010730191690407	negative	sex_model;antibiotic_model	Anaerotruncus	HILp QI9275
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	C18n_QI4874	0.44838400346812435	1.6124676547769446e-6	105	7.860779817037604e-4	0.44838400346812435	positive	sex_model;antibiotic_model	Eggerthella	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI376	0.4427534729421521	2.2519356220333725e-6	105	9.758387695477947e-4	0.4427534729421521	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI11958	-0.4398871188179632	2.6632687781024575e-6	105	0.0010386748234599585	0.4398871188179632	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI11958
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI3682	0.43569876606808544	3.3938475549327065e-6	105	0.001203273224021596	0.43569876606808544	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI3682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2966	0.43077747683514267	4.493823519724807e-6	105	0.0013951743616171712	0.43077747683514267	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI2966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI3804	-0.4301711032364245	4.650581205390571e-6	105	0.0013951743616171712	0.4301711032364245	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI3804
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI2966	0.42713213748858714	5.517046116799399e-6	105	0.0015368914182512612	0.42713213748858714	positive	sex_model;antibiotic_model	Odoribacter	C18n QI2966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2320	0.4235500361435536	6.733657010063952e-6	105	0.0016232972498192678	0.4235500361435536	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI2320
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI9931	0.4229195152562469	6.972405587427028e-6	105	0.0016232972498192678	0.4229195152562469	positive	sex_model;antibiotic_model	Anaerotruncus	HILp QI9931
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	C18n_QI4874	0.42265246366216164	7.075911088955783e-6	105	0.0016232972498192678	0.42265246366216164	positive	sex_model;antibiotic_model	Propionibacterium	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI31979	0.4200137364770104	8.179486363697857e-6	105	0.001772222045467869	0.4200137364770104	positive	sex_model;antibiotic_model	Anaerotruncus	HILn QI31979
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI2044	0.4176135185569147	9.322286833929736e-6	105	0.001913522034332946	0.4176135185569147	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI2044
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C8p_QI7970	0.41635996116279916	9.97730116687395e-6	105	0.0019455737275404204	0.41635996116279916	positive	sex_model;antibiotic_model	Coprobacillus	C8p QI7970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n_QI4874	-0.4109996632020883	1.3298250821898628e-5	105	0.0024150315271859865	0.4109996632020883	negative	sex_model;antibiotic_model	Ruminococcus	C18n QI4874
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	C18n_QI4874	0.41028432224857847	1.381293041605183e-5	105	0.0024150315271859865	0.41028432224857847	positive	sex_model;antibiotic_model	Klebsiella	C18n QI4874
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI7436	0.409706207036027	1.4242493621866074e-5	105	0.0024150315271859865	0.409706207036027	positive	sex_model;antibiotic_model	Coprobacillus	C18n QI7436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI6409	-0.4085052688281401	1.5175274328284386e-5	105	0.00242121224732267	0.4085052688281401	negative	sex_model;antibiotic_model	Ruminococcus	C8p QI6409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILn_QI27528	-0.4080782053145521	1.5520591328991473e-5	105	0.00242121224732267	0.4080782053145521	negative	sex_model;antibiotic_model	Dorea	HILn QI27528
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3766	0.40546340452000823	1.7801133706351297e-5	105	0.0026701700559526947	0.40546340452000823	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI3766
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	C18n_QI4874	0.40084493184030734	2.2615198219083772e-5	105	0.0031390766570603915	0.40084493184030734	positive	sex_model;antibiotic_model	Lactobacillus	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI21618	-0.40020323365354965	2.3373424286299994e-5	105	0.0031390766570603915	0.40020323365354965	negative	sex_model;antibiotic_model	Ruminococcus	C8p QI21618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI413	0.4000157245987979	2.3599443291089473e-5	105	0.0031390766570603915	0.4000157245987979	positive	sex_model;antibiotic_model	Odoribacter	C18n QI413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI2228	-0.39956855810312364	2.4146743515849165e-5	105	0.0031390766570603915	0.39956855810312364	negative	sex_model;antibiotic_model	Faecalibacterium	C18n QI2228
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	C18n_QI4874	0.3941684162742155	3.176713502880307e-5	105	0.003996510535881677	0.3941684162742155	positive	sex_model;antibiotic_model	Acidaminococcus	C18n QI4874
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C8p_QI21618	0.39109427335185154	3.705704039106919e-5	105	0.004468531052275546	0.39109427335185154	positive	sex_model;antibiotic_model	Coprobacillus	C8p QI21618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI846	-0.3906902004785264	3.7810647365408464e-5	105	0.004468531052275546	0.3906902004785264	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI2095	0.3881996197241981	4.278138507826901e-5	105	0.004907276523683798	0.3881996197241981	positive	sex_model;antibiotic_model	Odoribacter	C18n QI2095
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI382	0.38711065266253347	4.514121980087167e-5	105	0.005030021634954272	0.38711065266253347	positive	sex_model;antibiotic_model	Coprobacillus	C18n QI382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI413	0.38596625010768815	4.775189218610936e-5	105	0.00517312165349518	0.38596625010768815	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI15737	0.38458033158481075	5.110228135625211e-5	105	0.005386456683496844	0.38458033158481075	positive	sex_model;antibiotic_model	Dorea	HILp QI15737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI1309	-0.3816815260211486	5.883184144705259e-5	105	0.0060380047800922395	0.3816815260211486	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI1309
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI3682	0.38040585964913054	6.256779093572639e-5	105	0.006256779093572639	0.38040585964913054	positive	sex_model;antibiotic_model	Odoribacter	C18n QI3682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI4213	-0.3784117209522375	6.885376417460543e-5	105	0.006713242007024029	0.3784117209522375	negative	sex_model;antibiotic_model	Anaerotruncus	HILp QI4213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI736	0.3768297739995852	7.425397173125122e-5	105	0.006896692434797048	0.3768297739995852	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI736
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	C18n_QI11958	-0.3764896391184942	7.546547768760167e-5	105	0.006896692434797048	0.3764896391184942	negative	sex_model;antibiotic_model	Akkermansia	C18n QI11958
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI11341	0.37630105743313286	7.614508593124507e-5	105	0.006896692434797048	0.37630105743313286	positive	sex_model;antibiotic_model	Dorea	C18n QI11341
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C8p_QI8001	0.375625072522015	7.862832518110759e-5	105	0.006896692434797048	0.375625072522015	positive	sex_model;antibiotic_model	Dorea	C8p QI8001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI8231	-0.37537200570576057	7.95772204015044e-5	105	0.006896692434797048	0.37537200570576057	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI8231
