rank	taxon	taxon_label	metabolite	metabolite_label	metabolite_platform	metabolite_display_name	metabolite_annotation	annotation_status	taxon_effect_direction	metabolite_effect_direction	taxon_fdr	metabolite_fdr	spearman_rho	correlation_fdr	adjusted_spearman_rho	adjusted_correlation_fdr	spls_component	spls_loading	prevalence	missingness	biological_note	overall_score	taxon_effect_size	metabolite_effect_size	taxon_best_comparison	metabolite_best_comparison	metabolite_key_full	metabolite_key_without_platform	annotation_id_raw.x	c18n_annotation_by_full_id	annotation_id_raw.y	c18n_annotation_by_qi_id
1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI7970	C8p QI7970	C8P	C8p QI7970	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.424542790188377	0.00197561580972918	-0.489553014546751	4.5217180956609e-4	-0.4975895501994161	2.594946926017829e-4	comp2|comp2	0.8403716713400516	0.6010362694300518	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.6343325519659396	0.0149179913005334	4.12325917706633	IBD_vs_non_IBD	IBD_vs_non_IBD	C8P_QI7970	QI7970	NA	NA	NA	NA
2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI10300	C8p QI10300	C8P	C8p QI10300	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.424542790188377	0.00166686241612189	-0.45793074849678617	5.86735618782575e-4	-0.4670433340244661	4.4867397293908007e-4	comp2|comp2	0.8403716713400516	0.6010362694300518	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.582473119893293	0.0149179913005334	3.04734933290017	IBD_vs_non_IBD	IBD_vs_non_IBD	C8P_QI10300	QI10300	NA	NA	NA	NA
3	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI7605	C18n QI7605	C18N	C18n QI7605	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	1.04664968135684e-5	0.32166966409307196	0.02189478459893534	0.335244384995185	0.01675446023925112	comp1|comp1;comp2	0.14016577185042983	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5816500940116832	0.037346719580817	10.2219665707388	CD_vs_UC	UC_vs_non_IBD	C18N_QI7605	QI7605	NA	NA	NA	NA
4	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI21618	C8p QI21618	C8P	C8p QI21618	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.424542790188377	8.2423756791303e-4	-0.4075722876864313	0.0031081473575856	-0.4002032336535497	0.00313907665706039	comp2|comp2	0.8403716713400516	0.6010362694300518	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5717104594564972	0.0149179913005334	6.48796511724109	IBD_vs_non_IBD	IBD_vs_non_IBD	C8P_QI21618	QI21618	NA	NA	NA	NA
5	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI2044	HILp QI2044	HILP	HILp QI2044	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	3.8602095632555e-4	0.4116317644619531	0.00263937927927146	0.4176135185569147	0.00191352203433294	comp1|comp1	0.1636511851634337	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.567803136042	0.037346719580817	7.105509982707	CD_vs_UC	UC_vs_non_IBD	HILP_QI2044	QI2044	NA	NA	NA	NA
6	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	Dorea	C18n_QI8008	C18n QI8008	C18N	C18n QI8008	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.640034995738657	1.49050619803761e-5	0.3742920406139987	0.00648087493465811	0.33334502697343593	0.01730190845085694	comp1|comp1	0.3051965175789455	0.8756476683937824	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5581238109456655	0.00310020507313553	9.89389136383777	CD_vs_UC	UC_vs_non_IBD	C18N_QI8008	QI8008	NA	NA	NA	NA
7	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI3032	HILp QI3032	HILP	HILp QI3032	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	5.5556770370696e-4	0.4343104477523329	0.00143332753958275	0.4651509968215628	4.4867397293908007e-4	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5539708237028133	0.037346719580817	4.98314928724376	CD_vs_UC	UC_vs_non_IBD	HILP_QI3032	QI3032	NA	NA	NA	NA
8	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI6409	C8p QI6409	C8P	C8p QI6409	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.424542790188377	9.5917407228237e-4	-0.4035431711086311	0.003487363549356	-0.4085052688281401	0.00242121224732267	comp2|comp2	0.8403716713400516	0.6010362694300518	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5354857020539417	0.0149179913005334	4.94747023171726	IBD_vs_non_IBD	IBD_vs_non_IBD	C8P_QI6409	QI6409	NA	NA	NA	NA
9	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI11958	C18n QI11958	C18N	C18n QI11958	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.701708227496494	5.2562606465987e-4	-0.4499381629062989	8.183851310224586e-4	-0.4398871188179632	0.00103867482345995	comp1|comp2	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5321338735188157	2.9609580665565e-4	6.96517848724517	CD_vs_non_IBD	UC_vs_non_IBD	C18N_QI11958	QI11958	NA	NA	NA	NA
10	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI3804	C18n QI3804	C18N	C18n QI3804	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.701708227496494	0.00101700628028848	-0.42572953077131126	0.00155973726739673	-0.4301711032364245	0.00139517436161717	comp1|comp1	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5267593256489219	2.9609580665565e-4	9.6552070365468	CD_vs_non_IBD	UC_vs_non_IBD	C18N_QI3804	QI3804	NA	NA	NA	NA
