taxon	taxon_label	metabolite	metabolite_label	spearman_rho	correlation_fdr	n_samples	p_value	abs_rho	correlation_direction
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI7970	C8p QI7970	-0.489553014546751	4.5217180956609e-4	105	1.1594148963233077e-7	0.489553014546751	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	Clostridium	C18n_QI4874	C18n QI4874	0.46417750090569937	5.86735618782575e-4	105	6.116225337999037e-7	0.46417750090569937	positive
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	Eggerthella	C18n_QI4874	C18n QI4874	0.4627830140477948	5.86735618782575e-4	105	6.67592124763934e-7	0.4627830140477948	positive
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	Coprobacillus	C18n_QI4874	C18n QI4874	0.4621453862280095	5.86735618782575e-4	105	6.947736942818542e-7	0.4621453862280095	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILn_QI25565	HILn QI25565	0.4585566499052941	5.86735618782575e-4	105	8.684443149288854e-7	0.4585566499052941	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI10300	C8p QI10300	-0.45793074849678617	5.86735618782575e-4	105	9.026701827424232e-7	0.45793074849678617	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI11958	C18n QI11958	-0.4499381629062989	8.183851310224586e-4	105	1.4688963890146695e-6	0.4499381629062989	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILp_QI9275	HILp QI9275	-0.44361715306629435	0.00104339003663726	105	2.1402872546405447e-6	0.44361715306629435	negative
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	Odoribacter	C18n_QI2966	C18n QI2966	0.4402325224861184	0.00113107777223417	105	2.610179474386568e-6	0.4402325224861184	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI3032	HILp QI3032	0.4343104477523329	0.00143332753958275	105	3.675198819442957e-6	0.4343104477523329	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI2966	C18n QI2966	0.4282001594173407	0.00155973726739673	105	5.196506608697996e-6	0.4282001594173407	positive
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	Acidaminococcus	C18n_QI4874	C18n QI4874	0.4281126493427176	0.00155973726739673	105	5.222094893666154e-6	0.4281126493427176	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI376	HILp QI376	0.426176653535144	0.00155973726739673	105	5.819529706303414e-6	0.426176653535144	positive
