metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id	abs_beta	q_value_safe	p_value_safe	selection_source	metabolite_label
C18n_QI7515	UC_vs_non_IBD	model_group	UC	7.06215984501514	0.915841950168415	3.6507488630996903e-10	1.04664968135684e-5	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI7515	7.06215984501514	0.915841950168415	56	56	3.6507488630996903e-10	1.04664968135684e-5	C18n_QI7515	7.06215984501514	1.04664968135684e-5	3.6507488630996903e-10	FDR_lt_0.10	C18n QI7515
C18n_QI7605	UC_vs_non_IBD	model_group	UC	10.2219665707388	1.33366668270235	4.32793166177428e-10	1.04664968135684e-5	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI7605	10.2219665707388	1.33366668270235	56	56	4.32793166177428e-10	1.04664968135684e-5	C18n_QI7605	10.2219665707388	1.04664968135684e-5	4.32793166177428e-10	FDR_lt_0.10	C18n QI7605
C18n_QI8008	UC_vs_non_IBD	model_group	UC	9.89389136383777	1.31600616855998	7.39595195771153e-10	1.49050619803761e-5	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8008	9.89389136383777	1.31600616855998	56	56	7.39595195771153e-10	1.49050619803761e-5	C18n_QI8008	9.89389136383777	1.49050619803761e-5	7.39595195771153e-10	FDR_lt_0.10	C18n QI8008
HILp_QI3060	UC_vs_non_IBD	model_group	UC	4.97796812229578	0.750002521374683	1.87430646191289e-8	2.010137516884e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI3060	4.97796812229578	0.750002521374683	56	56	1.87430646191289e-8	2.010137516884e-4	HILp_QI3060	4.97796812229578	2.010137516884e-4	1.87430646191289e-8	FDR_lt_0.10	HILp QI3060
C18n_QI1325	UC_vs_non_IBD	model_group	UC	7.44900016011225	1.12432123815461	1.95821555227956e-8	2.010137516884e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1325	7.44900016011225	1.12432123815461	56	56	1.95821555227956e-8	2.010137516884e-4	C18n_QI1325	7.44900016011225	2.010137516884e-4	1.95821555227956e-8	FDR_lt_0.10	C18n QI1325
C18n_QI2402	UC_vs_non_IBD	model_group	UC	10.1965262837166	1.58060127620713	3.70972815577972e-8	3.0373636464067e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2402	10.1965262837166	1.58060127620713	56	56	3.70972815577972e-8	3.0373636464067e-4	C18n_QI2402	10.1965262837166	3.0373636464067e-4	3.70972815577972e-8	FDR_lt_0.10	C18n QI2402
HILp_QI2095	UC_vs_non_IBD	model_group	UC	9.61987870168868	1.49219524495495	3.76788027391295e-8	3.0373636464067e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI2095	9.61987870168868	1.49219524495495	56	56	3.76788027391295e-8	3.0373636464067e-4	HILp_QI2095	9.61987870168868	3.0373636464067e-4	3.76788027391295e-8	FDR_lt_0.10	HILp QI2095
C18n_QI1015	UC_vs_non_IBD	model_group	UC	8.79450842840639	1.38108192526232	5.03080560692524e-8	3.8019684523636e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1015	8.79450842840639	1.38108192526232	56	56	5.03080560692524e-8	3.8019684523636e-4	C18n_QI1015	8.79450842840639	3.8019684523636e-4	5.03080560692524e-8	FDR_lt_0.10	C18n QI1015
C18n_QI709	UC_vs_non_IBD	model_group	UC	6.62819026772558	1.04468120491747	5.47525708741049e-8	3.8602095632555e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI709	6.62819026772558	1.04468120491747	56	56	5.47525708741049e-8	3.8602095632555e-4	C18n_QI709	6.62819026772558	3.8602095632555e-4	5.47525708741049e-8	FDR_lt_0.10	C18n QI709
C18n_QI8815	UC_vs_non_IBD	model_group	UC	7.43332711149582	1.17435421155212	5.78378795792305e-8	3.8602095632555e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8815	7.43332711149582	1.17435421155212	56	56	5.78378795792305e-8	3.8602095632555e-4	C18n_QI8815	7.43332711149582	3.8602095632555e-4	5.78378795792305e-8	FDR_lt_0.10	C18n QI8815
HILp_QI2044	UC_vs_non_IBD	model_group	UC	7.105509982707	1.1273794362531	6.38483859021077e-8	3.8602095632555e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI2044	7.105509982707	1.1273794362531	56	56	6.38483859021077e-8	3.8602095632555e-4	HILp_QI2044	7.105509982707	3.8602095632555e-4	6.38483859021077e-8	FDR_lt_0.10	HILp QI2044
C18n_QI663	UC_vs_non_IBD	model_group	UC	4.874494771417	0.777636572094094	7.23854452086339e-8	4.1679539351131e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI663	4.874494771417	0.777636572094094	56	56	7.23854452086339e-8	4.1679539351131e-4	C18n_QI663	4.874494771417	4.1679539351131e-4	7.23854452086339e-8	FDR_lt_0.10	C18n QI663
C18n_QI334	UC_vs_non_IBD	model_group	UC	5.58773309818252	0.903229915694513	9.76409971773212e-8	5.2562606465987e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI334	5.58773309818252	0.903229915694513	56	56	9.76409971773212e-8	5.2562606465987e-4	C18n_QI334	5.58773309818252	5.2562606465987e-4	9.76409971773212e-8	FDR_lt_0.10	C18n QI334
C18n_QI11958	UC_vs_non_IBD	model_group	UC	6.96517848724517	1.12916590665397	1.04255119452323e-7	5.2562606465987e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI11958	6.96517848724517	1.12916590665397	56	56	1.04255119452323e-7	5.2562606465987e-4	C18n_QI11958	6.96517848724517	5.2562606465987e-4	1.04255119452323e-7	FDR_lt_0.10	C18n QI11958
C18n_QI8231	UC_vs_non_IBD	model_group	UC	4.61431285197966	0.748076246800758	1.04327110536372e-7	5.2562606465987e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8231	4.61431285197966	0.748076246800758	56	56	1.04327110536372e-7	5.2562606465987e-4	C18n_QI8231	4.61431285197966	5.2562606465987e-4	1.04327110536372e-7	FDR_lt_0.10	C18n QI8231
HILp_QI15737	UC_vs_non_IBD	model_group	UC	11.2818250947765	1.83944886495112	1.18520849505874e-7	5.3215086614179e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI15737	11.2818250947765	1.83944886495112	56	56	1.18520849505874e-7	5.3215086614179e-4	HILp_QI15737	11.2818250947765	5.3215086614179e-4	1.18520849505874e-7	FDR_lt_0.10	HILp QI15737
C18n_QI4641	UC_vs_non_IBD	model_group	UC	-6.76978673385037	1.11129106117128	1.37844416641701e-7	5.5556770370696e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI4641	-6.76978673385037	1.11129106117128	56	56	1.37844416641701e-7	5.5556770370696e-4	C18n_QI4641	6.76978673385037	5.5556770370696e-4	1.37844416641701e-7	FDR_lt_0.10	C18n QI4641
C18n_QI2966	UC_vs_non_IBD	model_group	UC	-3.73738629291833	0.613896568763962	1.39790080235274e-7	5.5556770370696e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2966	-3.73738629291833	0.613896568763962	56	56	1.39790080235274e-7	5.5556770370696e-4	C18n_QI2966	3.73738629291833	5.5556770370696e-4	1.39790080235274e-7	FDR_lt_0.10	C18n QI2966
HILp_QI3032	UC_vs_non_IBD	model_group	UC	4.98314928724376	0.818976208613673	1.4151450508792e-7	5.5556770370696e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI3032	4.98314928724376	0.818976208613673	56	56	1.4151450508792e-7	5.5556770370696e-4	HILp_QI3032	4.98314928724376	5.5556770370696e-4	1.4151450508792e-7	FDR_lt_0.10	HILp QI3032
HILp_QI3816	UC_vs_non_IBD	model_group	UC	5.51105539285546	0.909973706888495	1.56892184802163e-7	5.7839196363683e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI3816	5.51105539285546	0.909973706888495	56	56	1.56892184802163e-7	5.7839196363683e-4	HILp_QI3816	5.51105539285546	5.7839196363683e-4	1.56892184802163e-7	FDR_lt_0.10	HILp QI3816
C18n_QI745	UC_vs_non_IBD	model_group	UC	4.30164145310103	0.711788042002719	1.64404507335782e-7	5.7839196363683e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI745	4.30164145310103	0.711788042002719	56	56	1.64404507335782e-7	5.7839196363683e-4	C18n_QI745	4.30164145310103	5.7839196363683e-4	1.64404507335782e-7	FDR_lt_0.10	C18n QI745
C18n_QI1030	UC_vs_non_IBD	model_group	UC	3.8877417285519	0.643695644610505	1.66639264960329e-7	5.7839196363683e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1030	3.8877417285519	0.643695644610505	56	56	1.66639264960329e-7	5.7839196363683e-4	C18n_QI1030	3.8877417285519	5.7839196363683e-4	1.66639264960329e-7	FDR_lt_0.10	C18n QI1030
C18n_QI1054	UC_vs_non_IBD	model_group	UC	6.40725548655292	1.06198130301032	1.70576174296638e-7	5.7839196363683e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1054	6.40725548655292	1.06198130301032	56	56	1.70576174296638e-7	5.7839196363683e-4	C18n_QI1054	6.40725548655292	5.7839196363683e-4	1.70576174296638e-7	FDR_lt_0.10	C18n QI1054
C18n_QI3745	UC_vs_non_IBD	model_group	UC	-4.10067601068119	0.680752282080183	1.76614563983602e-7	5.7839196363683e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI3745	-4.10067601068119	0.680752282080183	56	56	1.76614563983602e-7	5.7839196363683e-4	C18n_QI3745	4.10067601068119	5.7839196363683e-4	1.76614563983602e-7	FDR_lt_0.10	C18n QI3745
C18n_QI2917	UC_vs_non_IBD	model_group	UC	-3.61606403492537	0.600359144528258	1.76983597599719e-7	5.7839196363683e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2917	-3.61606403492537	0.600359144528258	56	56	1.76983597599719e-7	5.7839196363683e-4	C18n_QI2917	3.61606403492537	5.7839196363683e-4	1.76983597599719e-7	FDR_lt_0.10	C18n QI2917
C8p_QI8001	UC_vs_non_IBD	model_group	UC	8.70272698931009	1.44826786535865	1.86303304824931e-7	5.9282692139002e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI8001	8.70272698931009	1.44826786535865	56	56	1.86303304824931e-7	5.9282692139002e-4	C8p_QI8001	8.70272698931009	5.9282692139002e-4	1.86303304824931e-7	FDR_lt_0.10	C8p QI8001
HILp_QI12296	UC_vs_non_IBD	model_group	UC	5.9317008615652	0.99002336413361	1.98603273225001e-7	6.0158889061692e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI12296	5.9317008615652	0.99002336413361	56	56	1.98603273225001e-7	6.0158889061692e-4	HILp_QI12296	5.9317008615652	6.0158889061692e-4	1.98603273225001e-7	FDR_lt_0.10	HILp QI12296
C18n_QI1056	UC_vs_non_IBD	model_group	UC	5.50398416548671	0.918721532535884	1.9900722493489e-7	6.0158889061692e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1056	5.50398416548671	0.918721532535884	56	56	1.9900722493489e-7	6.0158889061692e-4	C18n_QI1056	5.50398416548671	6.0158889061692e-4	1.9900722493489e-7	FDR_lt_0.10	C18n QI1056
C18n_QI8934	UC_vs_non_IBD	model_group	UC	5.27096691915602	0.892265621369683	2.69524942709392e-7	7.9488822006181e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8934	5.27096691915602	0.892265621369683	56	56	2.69524942709392e-7	7.9488822006181e-4	C18n_QI8934	5.27096691915602	7.9488822006181e-4	2.69524942709392e-7	FDR_lt_0.10	C18n QI8934
C8p_QI21618	IBD_vs_non_IBD	model_group	IBD	6.48223761702147	1.06965048635623	2.35957271835557e-8	8.2423756791303e-4	105	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI21618	6.48223761702147	1.06965048635623	105	105	2.35957271835557e-8	8.2423756791303e-4	C8p_QI21618	6.48223761702147	8.2423756791303e-4	2.35957271835557e-8	FDR_lt_0.10	C8p QI21618
C18n_QI7436	IBD_vs_non_IBD	model_group	IBD	7.3148387991036	1.21339900895229	2.72660006918089e-8	8.2423756791303e-4	105	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI7436	7.3148387991036	1.21339900895229	105	105	2.72660006918089e-8	8.2423756791303e-4	C18n_QI7436	7.3148387991036	8.2423756791303e-4	2.72660006918089e-8	FDR_lt_0.10	C18n QI7436
C18n_QI1728	UC_vs_non_IBD	model_group	UC	-5.71167097775273	0.973018499536377	3.08609727837451e-7	8.411507227375e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI1728	-5.71167097775273	0.973018499536377	56	56	3.08609727837451e-7	8.411507227375e-4	C18n_QI1728	5.71167097775273	8.411507227375e-4	3.08609727837451e-7	FDR_lt_0.10	C18n QI1728
C18n_QI2448	UC_vs_non_IBD	model_group	UC	4.60045925413048	0.784241734561987	3.1303678958623e-7	8.411507227375e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2448	4.60045925413048	0.784241734561987	56	56	3.1303678958623e-7	8.411507227375e-4	C18n_QI2448	4.60045925413048	8.411507227375e-4	3.1303678958623e-7	FDR_lt_0.10	C18n QI2448
HILn_QI1594	UC_vs_non_IBD	model_group	UC	6.10292463983173	1.04231819656339	3.25741249919037e-7	8.4371353084536e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI1594	6.10292463983173	1.04231819656339	56	56	3.25741249919037e-7	8.4371353084536e-4	HILn_QI1594	6.10292463983173	8.4371353084536e-4	3.25741249919037e-7	FDR_lt_0.10	HILn QI1594
