original_metabolite_id	maaslin_metabolite_id
C18n_QI06	C18n_QI06
C18n_QI07	C18n_QI07
C18n_QI08	C18n_QI08
C18n_QI10	C18n_QI10
C18n_QI11	C18n_QI11
C18n_QI12	C18n_QI12
C18n_QI13	C18n_QI13
C18n_QI14	C18n_QI14
C18n_TF2	C18n_TF2
C18n_QI15	C18n_QI15
C18n_QI16	C18n_QI16
C18n_QI17	C18n_QI17
C18n_QI18	C18n_QI18
C18n_TF3	C18n_TF3
C18n_TF4	C18n_TF4
C18n_QI19	C18n_QI19
C18n_QI20	C18n_QI20
C18n_QI21	C18n_QI21
C18n_QI22	C18n_QI22
C18n_QI23	C18n_QI23
C18n_QI25	C18n_QI25
C18n_QI26	C18n_QI26
C18n_QI27	C18n_QI27
C18n_QI28	C18n_QI28
C18n_QI29	C18n_QI29
C18n_QI30	C18n_QI30
C18n_QI31	C18n_QI31
C18n_QI32	C18n_QI32
C18n_QI33	C18n_QI33
C18n_QI34	C18n_QI34
C18n_QI35	C18n_QI35
C18n_QI36	C18n_QI36
C18n_QI37	C18n_QI37
C18n_QI38	C18n_QI38
C18n_QI39	C18n_QI39
C18n_QI40	C18n_QI40
C18n_QI41	C18n_QI41
C18n_QI42	C18n_QI42
C18n_QI43	C18n_QI43
C18n_QI44	C18n_QI44
C18n_QI45	C18n_QI45
C18n_QI46	C18n_QI46
C18n_QI47	C18n_QI47
C18n_QI48	C18n_QI48
C18n_QI49	C18n_QI49
C18n_QI50	C18n_QI50
C18n_QI51	C18n_QI51
C18n_QI52	C18n_QI52
C18n_QI53	C18n_QI53
C18n_QI54	C18n_QI54
C18n_QI55	C18n_QI55
C18n_QI56	C18n_QI56
C18n_QI57	C18n_QI57
C18n_QI58	C18n_QI58
C18n_QI59	C18n_QI59
C18n_QI60	C18n_QI60
C18n_QI61	C18n_QI61
C18n_QI62	C18n_QI62
C18n_QI63	C18n_QI63
C18n_QI64	C18n_QI64
C18n_QI65	C18n_QI65
C18n_QI66	C18n_QI66
C18n_TF5	C18n_TF5
C18n_QI67	C18n_QI67
C18n_QI68	C18n_QI68
C18n_QI69	C18n_QI69
C18n_QI70	C18n_QI70
C18n_QI73	C18n_QI73
C18n_QI74	C18n_QI74
C18n_QI77	C18n_QI77
C18n_QI78	C18n_QI78
C18n_QI79	C18n_QI79
C18n_QI80	C18n_QI80
C18n_QI4788	C18n_QI4788
C18n_QI83	C18n_QI83
C18n_QI84	C18n_QI84
C18n_QI85	C18n_QI85
C18n_QI86	C18n_QI86
C18n_TF8	C18n_TF8
C18n_QI88	C18n_QI88
C18n_QI89	C18n_QI89
C18n_QI91	C18n_QI91
C18n_QI92	C18n_QI92
C18n_QI2555	C18n_QI2555
C18n_QI141	C18n_QI141
C18n_QI157	C18n_QI157
C18n_QI189	C18n_QI189
C18n_QI213	C18n_QI213
C18n_QI239	C18n_QI239
C18n_QI383	C18n_QI383
C18n_QI395	C18n_QI395
C18n_QI485	C18n_QI485
C18n_QI782	C18n_QI782
C18n_QI855	C18n_QI855
C18n_QI1070	C18n_QI1070
C18n_QI159	C18n_QI159
C18n_QI367	C18n_QI367
C18n_QI447	C18n_QI447
C18n_QI649	C18n_QI649
C18n_QI216	C18n_QI216
C18n_QI404	C18n_QI404
C18n_QI2502	C18n_QI2502
C18n_QI821	C18n_QI821
C18n_QI423	C18n_QI423
C18n_QI436	C18n_QI436
C18n_QI516	C18n_QI516
C18n_QI1122	C18n_QI1122
C18n_QI1540	C18n_QI1540
C18n_QI1894	C18n_QI1894
C18n_QI247	C18n_QI247
C18n_QI418	C18n_QI418
C18n_QI502	C18n_QI502
C18n_QI1011	C18n_QI1011
C18n_QI1268	C18n_QI1268
C18n_QI412	C18n_QI412
C18n_QI4455	C18n_QI4455
C18n_QI177	C18n_QI177
C18n_QI547	C18n_QI547
C18n_QI280	C18n_QI280
C18n_QI532	C18n_QI532
C18n_QI442	C18n_QI442
C18n_QI448	C18n_QI448
C18n_QI572	C18n_QI572
C18n_QI797	C18n_QI797
C18n_QI184	C18n_QI184
C18n_QI672	C18n_QI672
C18n_QI773	C18n_QI773
C18n_QI120	C18n_QI120
C18n_QI677	C18n_QI677
C18n_QI1049	C18n_QI1049
C18n_QI6330	C18n_QI6330
C18n_QI187	C18n_QI187
C18n_QI10625	C18n_QI10625
C18n_QI245	C18n_QI245
C18n_QI647	C18n_QI647
C18n_QI98	C18n_QI98
C18n_QI999	C18n_QI999
C18n_QI1077	C18n_QI1077
C18n_QI2122	C18n_QI2122
C18n_QI2215	C18n_QI2215
C18n_QI2379	C18n_QI2379
C18n_QI4165	C18n_QI4165
C18n_QI4397	C18n_QI4397
C18n_QI1209	C18n_QI1209
C18n_QI8482	C18n_QI8482
C18n_QI188	C18n_QI188
C18n_QI878	C18n_QI878
C18n_QI3984	C18n_QI3984
C18n_QI122	C18n_QI122
C18n_QI2037	C18n_QI2037
C18n_QI176	C18n_QI176
C18n_QI714	C18n_QI714
C18n_QI772	C18n_QI772
C18n_QI3588	C18n_QI3588
C18n_QI3693	C18n_QI3693
C18n_QI5620	C18n_QI5620
C18n_QI5811	C18n_QI5811
C18n_QI7243	C18n_QI7243
C18n_QI284	C18n_QI284
C18n_QI352	C18n_QI352
C18n_QI450	C18n_QI450
C18n_QI713	C18n_QI713
C18n_QI880	C18n_QI880
C18n_QI1012	C18n_QI1012
C18n_QI1072	C18n_QI1072
C18n_QI1432	C18n_QI1432
C18n_QI1555	C18n_QI1555
C18n_QI1755	C18n_QI1755
C18n_QI1859	C18n_QI1859
C18n_QI2138	C18n_QI2138
C18n_QI3159	C18n_QI3159
C18n_QI4233	C18n_QI4233
C18n_QI4309	C18n_QI4309
C18n_QI5064	C18n_QI5064
C18n_QI5260	C18n_QI5260
C18n_QI5261	C18n_QI5261
C18n_QI5810	C18n_QI5810
C18n_QI7306	C18n_QI7306
C18n_QI7441	C18n_QI7441
C18n_QI7774	C18n_QI7774
C18n_QI9273	C18n_QI9273
C18n_QI9720	C18n_QI9720
C18n_QI10061	C18n_QI10061
C18n_QI10872	C18n_QI10872
C18n_QI10994	C18n_QI10994
C18n_QI11234	C18n_QI11234
C18n_QI470	C18n_QI470
C18n_QI605	C18n_QI605
C18n_QI675	C18n_QI675
C18n_QI3971	C18n_QI3971
C18n_QI4234	C18n_QI4234
C18n_QI6871	C18n_QI6871
C18n_QI8890	C18n_QI8890
C18n_QI2025	C18n_QI2025
C18n_QI2760	C18n_QI2760
C18n_QI2815	C18n_QI2815
C18n_QI3172	C18n_QI3172
C18n_QI3692	C18n_QI3692
C18n_QI4565	C18n_QI4565
C18n_QI5003	C18n_QI5003
C18n_QI5125	C18n_QI5125
C18n_QI5553	C18n_QI5553
C18n_QI6247	C18n_QI6247
C18n_QI6326	C18n_QI6326
C18n_QI6377	C18n_QI6377
C18n_QI6720	C18n_QI6720
C18n_QI8771	C18n_QI8771
C18n_QI9201	C18n_QI9201
C18n_QI10060	C18n_QI10060
C18n_QI11363	C18n_QI11363
C18n_QI11697	C18n_QI11697
C18n_QI11967	C18n_QI11967
C18n_QI12007	C18n_QI12007
C18n_QI12179	C18n_QI12179
C18n_QI13081	C18n_QI13081
C18n_QI13109	C18n_QI13109
C18n_QI3173	C18n_QI3173
C18n_QI6721	C18n_QI6721
C18n_QI7187	C18n_QI7187
C18n_QI7938	C18n_QI7938
C18n_QI8299	C18n_QI8299
C18n_QI3589	C18n_QI3589
C18n_QI12674	C18n_QI12674
C18n_QI13502	C18n_QI13502
C18n_QI5677	C18n_QI5677
C18n_QI6582	C18n_QI6582
C18n_QI7069	C18n_QI7069
C18n_QI9343	C18n_QI9343
C18n_QI9795	C18n_QI9795
C18n_QI10214	C18n_QI10214
C18n_QI10626	C18n_QI10626
C18n_QI11362	C18n_QI11362
C18n_QI11696	C18n_QI11696
C18n_QI11771	C18n_QI11771
C18n_QI12254	C18n_QI12254
C18n_QI12470	C18n_QI12470
C18n_QI12695	C18n_QI12695
C18n_QI12830	C18n_QI12830
C18n_QI12845	C18n_QI12845
C18n_QI12990	C18n_QI12990
C18n_QI13506	C18n_QI13506
C18n_QI13509	C18n_QI13509
C18n_QI13552	C18n_QI13552
C18n_QI13563	C18n_QI13563
C18n_QI13616	C18n_QI13616
C18n_QI119	C18n_QI119
C18n_QI185	C18n_QI185
C18n_QI257	C18n_QI257
C18n_QI434	C18n_QI434
C18n_QI456	C18n_QI456
C18n_QI607	C18n_QI607
C18n_QI806	C18n_QI806
C18n_QI980	C18n_QI980
C18n_QI2275	C18n_QI2275
C18n_QI2647	C18n_QI2647
C18n_QI3050	C18n_QI3050
C18n_QI3174	C18n_QI3174
C18n_QI3467	C18n_QI3467
C18n_QI3866	C18n_QI3866
C18n_QI4310	C18n_QI4310
C18n_QI6122	C18n_QI6122
C18n_QI6584	C18n_QI6584
C18n_QI7136	C18n_QI7136
C18n_QI7520	C18n_QI7520
C18n_QI7610	C18n_QI7610
C18n_QI7886	C18n_QI7886
C18n_QI7887	C18n_QI7887
C18n_QI7947	C18n_QI7947
C18n_QI8014	C18n_QI8014
C18n_QI8297	C18n_QI8297
