feature_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	feature_label	feature	coef	stderr	N	N.not.0	pval	qval	original_feature_id	direction
Eubacterium	CD_vs_UC	model_group	CD	-0.0462570157279938	0.0174774260724297	0.00990096472655436	0.404925316295567	79	MaasLin2_LM_CLR	Eubacterium	Eubacterium	-0.0462570157279938	0.0174774260724297	79	40	0.00990096472655436	0.404925316295567	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	lower_in_case_group
Roseburia	CD_vs_UC	model_group	CD	-0.0290671425669437	0.0110562119311194	0.010382700417835	0.404925316295567	79	MaasLin2_LM_CLR	Roseburia	Roseburia	-0.0290671425669437	0.0110562119311194	79	20	0.010382700417835	0.404925316295567	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	lower_in_case_group
Ruminococcus	CD_vs_UC	model_group	CD	-0.00357712968692209	0.00152637317976775	0.0217531498487183	0.484125973187534	79	MaasLin2_LM_CLR	Ruminococcus	Ruminococcus	-0.00357712968692209	0.00152637317976775	79	5	0.0217531498487183	0.484125973187534	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	lower_in_case_group
Collinsella	CD_vs_UC	model_group	CD	-0.00148183049310149	7.037490464416e-4	0.0385845785580814	0.56429946141194	79	MaasLin2_LM_CLR	Collinsella	Collinsella	-0.00148183049310149	7.037490464416e-4	79	0	0.0385845785580814	0.56429946141194	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	lower_in_case_group
Dorea	CD_vs_UC	model_group	CD	-0.00276148634272555	0.00144706139456825	0.0601742303685916	0.640034995738657	79	MaasLin2_LM_CLR	Dorea	Dorea	-0.00276148634272555	0.00144706139456825	79	1	0.0601742303685916	0.640034995738657	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	lower_in_case_group
Clostridium	CD_vs_UC	model_group	CD	0.0118781304864783	0.00662031258995464	0.0768120941938277	0.717792101678811	79	MaasLin2_LM_CLR	Clostridium	Clostridium	0.0118781304864783	0.00662031258995464	79	14	0.0768120941938277	0.717792101678811	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	higher_in_case_group
Faecalibacterium	CD_vs_UC	model_group	CD	-0.037346719580817	0.021026116523494	0.0797546779643123	0.717792101678811	79	MaasLin2_LM_CLR	Faecalibacterium	Faecalibacterium	-0.037346719580817	0.021026116523494	79	61	0.0797546779643123	0.717792101678811	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	lower_in_case_group
Coprococcus	CD_vs_UC	model_group	CD	-0.00335004626096642	0.00199750921818709	0.0976840082155838	0.735725175417784	79	MaasLin2_LM_CLR	Coprococcus	Coprococcus	-0.00335004626096642	0.00199750921818709	79	4	0.0976840082155838	0.735725175417784	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	lower_in_case_group
Odoribacter	CD_vs_UC	model_group	CD	0.00458844989895571	0.00276032194901869	0.100629318344201	0.735725175417784	79	MaasLin2_LM_CLR	Odoribacter	Odoribacter	0.00458844989895571	0.00276032194901869	79	7	0.100629318344201	0.735725175417784	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	higher_in_case_group
Alistipes	CD_vs_UC	model_group	CD	0.0214812000881048	0.0130399620738025	0.10367278981984	0.735725175417784	79	MaasLin2_LM_CLR	Alistipes	Alistipes	0.0214812000881048	0.0130399620738025	79	43	0.10367278981984	0.735725175417784	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	higher_in_case_group
Acidaminococcus	CD_vs_UC	model_group	CD	0.0129366034215305	0.00984350238534623	0.192774885491669	0.796451046869448	79	MaasLin2_LM_CLR	Acidaminococcus	Acidaminococcus	0.0129366034215305	0.00984350238534623	79	6	0.192774885491669	0.796451046869448	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	higher_in_case_group
Desulfovibrio	CD_vs_UC	model_group	CD	4.0853803516294e-4	3.3597951209666e-4	0.227813102559137	0.796451046869448	79	MaasLin2_LM_CLR	Desulfovibrio	Desulfovibrio	4.0853803516294e-4	3.3597951209666e-4	79	0	0.227813102559137	0.796451046869448	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	higher_in_case_group
Dialister	CD_vs_UC	model_group	CD	0.00423461370562985	0.00355319694079201	0.237106761954999	0.796451046869448	79	MaasLin2_LM_CLR	Dialister	Dialister	0.00423461370562985	0.00355319694079201	79	11	0.237106761954999	0.796451046869448	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	higher_in_case_group
Veillonella	CD_vs_UC	model_group	CD	0.0143300219027928	0.0120674639112498	0.238780773375786	0.796451046869448	79	MaasLin2_LM_CLR	Veillonella	Veillonella	0.0143300219027928	0.0120674639112498	79	7	0.238780773375786	0.796451046869448	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	higher_in_case_group
